Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
1,2,2,2,chercher,search
3,4,4,4,police,police
4,6,6,6,aide,help
5,7,7,7,demande,request
6,8,9,9,mois,month
7,9,10,10,frère,brother
8,10,11,11,laisser,let
9,11,12,12,car,because
10,12,13,13,mettre,to put
11,13,14,14,aucun,no
12,14,15,15,laisse,leash
13,15,16,16,eux,them
14,16,17,18,chaque,each
15,17,18,19,parlé,speak
16,18,21,23,longtemps,long time
18,20,23,25,pendant,while
19,21,24,26,revoir,meet again
20,22,25,27,aucune,any
21,23,26,28,place,square
22,25,28,31,savais,knew
23,26,29,32,étaient,were
24,27,30,33,attention,Warning
25,28,32,35,pourrais,could
26,29,33,36,affaire,case
27,31,35,38,type,type
28,32,36,39,leurs,their
29,33,37,40,donné,given
30,34,38,41,train,train
31,35,39,43,endroit,place
32,36,40,44,yeux,eyes
33,40,44,49,premier,first
34,41,45,50,perdu,lost
35,42,46,51,main,hand
36,43,47,52,première,first
37,44,48,53,côté,side
38,45,50,55,vieux,old
39,46,51,56,sois,be
40,47,52,57,tiens,here
41,49,54,59,tellement,so much
42,50,55,61,point,point
43,51,56,62,venu,came
44,52,57,63,suite,after
45,53,58,64,pardon,sorry
46,55,60,66,devant,in front of
47,56,61,67,minutes,minutes
48,58,63,69,chambre,bedroom
50,60,65,73,aimerais,would like to
52,63,68,76,enfin,finally
53,64,70,78,attendez,Wait
54,65,71,79,parti,left
55,66,72,80,nouvelle,new
56,67,73,81,boulot,job
57,68,74,82,arrêter,Stop
58,69,75,83,terre,Earth
59,70,78,86,loin,far
60,71,79,87,fin,end
61,72,80,88,croire,believe
62,73,81,89,chérie,sweetheart
63,74,82,90,gros,large
64,75,83,91,plutôt,rather
65,76,84,92,aura,will have
66,77,85,93,filles,girls
67,78,86,94,jouer,to play
68,79,87,95,bureau,office
